id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,parentTconst,seasonNumber,episodeNumber,parentTitle,decade
tt0402217,videoGame,Goblin Commander: Unleash the Horde,Goblin Commander: Unleash the Horde,0.0,2003.0,,,Action,7.1,16.0,,,,,2000.0
tt0402221,videoGame,Grabbed by the Ghoulies,Grabbed by the Ghoulies,0.0,2003.0,,,"Action,Adventure,Comedy",7.0,52.0,,,,,2000.0
tt0402394,videoGame,Nancy Drew: Ghost Dogs of Moon Lake,Nancy Drew: Ghost Dogs of Moon Lake,0.0,2002.0,,,"Adventure,Mystery",8.6,73.0,,,,,2000.0
tt0402400,videoGame,Ninja Gaiden,Ninja Gaiden,0.0,2004.0,,,"Action,Adventure,Fantasy",8.4,621.0,,,,,2000.0
tt0402451,videoGame,Mat Hoffman's Pro BMX 2,Mat Hoffman's Pro BMX 2,0.0,2002.0,,,"Action,Sport",6.8,22.0,,,,,2000.0
tt0402527,videoGame,Terminator 3: The Redemption,Terminator 3: The Redemption,0.0,2004.0,,,"Action,Adventure,Sci-Fi",7.0,253.0,,,,,2000.0
tt0402869,videoGame,Broken Sword 2.5: The Return of the Templars,Broken Sword 2.5: The Return of the Templars,0.0,2008.0,,,Adventure,7.8,138.0,,,,,2000.0
tt0402976,videoGame,Drakengard,Drag-On Dragoon,0.0,2003.0,,,"Action,Adventure,Fantasy",7.5,88.0,,,,,2000.0
tt0403047,videoGame,Freekstyle,Freekstyle,0.0,2002.0,,,"Action,Sport",7.1,20.0,,,,,2000.0
tt0403070,videoGame,Gift,Gift,0.0,2000.0,,,Adventure,7.0,5.0,,,,,2000.0
tt0403315,videoGame,Monster Rancher 3,Monster Farm 3,0.0,2001.0,,,Action,8.5,13.0,,,,,2000.0
tt0403324,videoGame,The Movies,The Movies,0.0,2005.0,,,"Action,Adventure,Comedy",8.3,478.0,,,,,2000.0
tt0403384,videoGame,Lifeline,Operator's Side,0.0,2003.0,,,"Action,Adventure,Drama",5.3,16.0,,,,,2000.0
tt0403490,videoGame,Sega GT 2002,Sega GT 2002,0.0,2002.0,,,Sport,6.8,25.0,,,,,2000.0
tt0403575,videoGame,Super Bust-A-Move 2,Sûpâ pazuru boburu 2,0.0,2002.0,,,"Action,Family",7.1,13.0,,,,,2000.0
tt0403646,videoGame,V-Rally 3,V-Rally 3,0.0,2002.0,,,"Action,Sport",7.1,19.0,,,,,2000.0
tt0403686,videoGame,Worms Blast,Worms Blast,0.0,2002.0,,,Family,5.2,22.0,,,,,2000.0
tt0403835,videoGame,Airforce Delta Strike,Airforce Delta: Blue Wing Knights,0.0,2004.0,,,"Action,Drama,Sci-Fi",4.5,6.0,,,,,2000.0
tt0403927,videoGame,Castlevania: Aria of Sorrow,Castlevania: Gyôgetsu no enbukyoku,0.0,2003.0,,,"Action,Adventure,Fantasy",8.2,256.0,,,,,2000.0
tt0404050,videoGame,Firefighter F.D.18,Firefighter F.D.18,0.0,2004.0,,,"Action,Drama,Mystery",7.8,6.0,,,,,2000.0
tt0404112,videoGame,Hitman: Contracts,Hitman: Contracts,0.0,2004.0,,,"Action,Adventure,Crime",8.1,2615.0,,,,,2000.0
tt0404274,videoGame,Neverwinter Nights: Shadows of Undrentide,Neverwinter Nights: Shadows of Undrentide,0.0,2003.0,,,Fantasy,7.4,147.0,,,,,2000.0
tt0404345,videoGame,Pro Surfer,Pro Surfer,0.0,2002.0,,,"Action,Sport",7.1,24.0,,,,,2000.0
tt0404911,videoGame,Devastation,Devastation,0.0,2003.0,,,Action,7.0,20.0,,,,,2000.0
tt0405034,videoGame,Ico,Ico,0.0,2001.0,,,"Action,Adventure,Family",8.8,1501.0,,,,,2000.0
tt0405168,videoGame,Monster Rancher 4,Monster Farm 4,0.0,2003.0,,,"Action,Adventure,Drama",8.2,14.0,,,,,2000.0
tt0405223,videoGame,Onimusha Blade Warriors,Onimusha buraiden,0.0,2004.0,,,"Action,Fantasy",7.8,56.0,,,,,2000.0
tt0405230,videoGame,Product Number 03,Product Number 03,0.0,2003.0,,,"Action,Mystery,Sci-Fi",7.0,25.0,,,,,2000.0
tt0405298,videoGame,Secret Weapons Over Normandy,Secret Weapons Over Normandy,0.0,2003.0,,,Action,8.0,46.0,,,,,2000.0
tt0405700,videoGame,Aquaman: Battle for Atlantis,Aquaman: Battle for Atlantis,0.0,2003.0,,,"Action,Adventure,Fantasy",3.5,74.0,,,,,2000.0
tt0405705,videoGame,Asheron's Call 2: Fallen Kings,Asheron's Call 2: Fallen Kings,0.0,2002.0,,,Fantasy,8.3,10.0,,,,,2000.0
tt0405814,videoGame,CSI: Crime Scene Investigation - Dark Motives,CSI: Crime Scene Investigation - Dark Motives,0.0,2004.0,,,"Crime,Mystery",7.0,230.0,,,,,2000.0
tt0405833,videoGame,The Chronicles of Riddick: Escape from Butcher Bay,The Chronicles of Riddick: Escape from Butcher Bay,0.0,2004.0,,,"Action,Adventure,Sci-Fi",8.7,2911.0,,,,,2000.0
tt0405892,videoGame,Dungeons & Dragons: Heroes,Dungeons & Dragons: Heroes,0.0,2003.0,,,Fantasy,7.7,22.0,,,,,2000.0
tt0405906,videoGame,Extreme Skate Adventure,Extreme Skate Adventure,0.0,2003.0,,,"Action,Adventure,Family",7.7,61.0,,,,,2000.0
tt0406040,videoGame,The Lord of the Rings: The War of the Ring,The Lord of the Rings: The War of the Ring,0.0,2003.0,,,"Action,Adventure,Fantasy",7.0,158.0,,,,,2000.0
tt0406061,videoGame,MechAssault,MechAssault,0.0,2002.0,,,Sci-Fi,7.9,51.0,,,,,2000.0
tt0406248,videoGame,Syberia II,Syberia II,0.0,2004.0,,,Adventure,8.7,635.0,,,,,2000.0
tt0406305,videoGame,Unreal Tournament 2004,Unreal Tournament 2004,0.0,2004.0,,,"Action,Sci-Fi,War",7.9,1166.0,,,,,2000.0
tt0406564,videoGame,Battle Engine Aquila,Battle Engine Aquila,0.0,2003.0,,,Action,8.0,10.0,,,,,2000.0
tt0406598,videoGame,Bratz,Bratz,0.0,2002.0,,,Family,4.1,59.0,,,,,2000.0
tt0406599,videoGame,Breakdown,Breakdown,0.0,2004.0,,,"Action,Adventure,Fantasy",8.4,48.0,,,,,2000.0
tt0406663,videoGame,Colin McRae Rally 3,Colin McRae Rally 3,0.0,2002.0,,,"Action,Adventure,Animation",7.2,104.0,,,,,2000.0
